Estimator,time,precision,rmse,Method
1,149.9036109,0.723243871,0.723243871,Greedy
1,201.7358818,0.751319653,0.751319653,Improved
5,3195.60969,0.834429299,0.834429299,Greedy
5,3669.160526,0.865726192,0.865726192,Improved
10,6195.60969,0.854429299,0.854429299,Greedy
10,7269.160526,0.885726192,0.885726192,Improved
