missingRate,time,precision,rmse,Method
0.1,3510.513983,0.993552751,0.990455278,Greedy
0.1,4702.902734,0.995745584,0.9926335,Improved
0.3,1218,0.827085765,0.820545303,Greedy
0.3,2423.672983,0.877527432,0.870568535,Improved
0.5,6317.79554,0.78552101,0.77378817,Greedy
0.5,8440.133558,0.806650051,0.794486995,Improved
