missingRate,time,precision,rmse,Method
0.1,755.6635301,0.96902051,0.96902051,Greedy
0.1,1016.53214,0.979472185,0.979472185,Improved
0.3,3195.60969,0.834429299,0.834429299,Greedy
0.3,3669.160526,0.865726192,0.865726192,Improved
0.5,635.574173,0.552858681,0.552858681,Greedy
0.5,851.995444,0.58642217,0.58642217,Improved
