round,time,precision,rmse,Method
1,474.3537459,0.818962922,0.818962922,Greedy
1,1300.703085,0.858718307,0.858718307,Improved
3,3195.60969,0.834429299,0.834429299,Greedy
3,3669.160526,0.865726192,0.865726192,Improved
5,45153.74324,0.842136407,0.842136407,Greedy
5,54085.54039,0.867189796,0.867189796,Improved
